127.0.0.1 - - [27/Jan/2024:16:16:56 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:16:56 +0530] "GET /login/homepage.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:16:56 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:17:04 +0530] "GET /login/login.html HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:25:26 +0530] "GET /login/login.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:25:51 +0530] "GET /login/login.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:26:03 +0530] "POST /login/Login HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:37:11 +0530] "GET /login/reg.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:37:45 +0530] "GET /login/reg.html HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:40:35 +0530] "GET /login/reg.html HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:40:36 +0530] "GET /login/reg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:40:37 +0530] "GET /login/reg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:40:49 +0530] "GET /login/reg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2024:16:41:02 +0530] "POST /login/reg HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [27/Jan/2024:17:42:23 +0530] "GET /login/reg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2024:17:42:27 +0530] "POST /login/reg HTTP/1.1" 404 765
