127.0.0.1 - - [14/Feb/2024:22:43:27 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:29 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:32 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:32 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:33 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:33 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:33 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:33 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:34 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:34 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:34 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:34 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:34 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:34 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:34 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:43:35 +0530] "GET /DemoJsp/Count.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [14/Feb/2024:22:58:20 +0530] "GET /DemoJsp/Table.jsp HTTP/1.1" 200 12706
